epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1424.82,0.75547,0.58506,1.53998,0.85611,0.81919,0.88068,0.74347,0.78932,0.79816,1.78032,0.000828443,0.000828443,0.000828443
43,1458.79,0.74959,0.5837,1.53009,0.86478,0.79642,0.87411,0.74263,0.79258,0.83287,1.75249,0.000820525,0.000820525,0.000820525
44,1492.71,0.747,0.57801,1.52726,0.85546,0.81963,0.87932,0.7427,0.79567,0.79627,1.76739,0.000812468,0.000812468,0.000812468
45,1526.58,0.74982,0.57703,1.51036,0.84867,0.80803,0.8678,0.73194,0.79847,0.82214,1.78164,0.000804277,0.000804277,0.000804277
46,1560.46,0.7432,0.56943,1.51513,0.85887,0.8035,0.86706,0.73426,0.79262,0.84001,1.75717,0.000795954,0.000795954,0.000795954
47,1594.25,0.73314,0.56339,1.50714,0.8543,0.79524,0.86549,0.73602,0.79332,0.83407,1.75947,0.000787503,0.000787503,0.000787503
48,1628.07,0.75533,0.57897,1.50994,0.84585,0.81334,0.86948,0.73565,0.78933,0.8142,1.75941,0.000778929,0.000778929,0.000778929
49,1661.78,0.73551,0.57469,1.5177,0.8647,0.80453,0.87496,0.74126,0.78808,0.82297,1.76825,0.000770234,0.000770234,0.000770234
50,1695.84,0.73583,0.56412,1.52115,0.86015,0.80814,0.87132,0.73868,0.78953,0.82617,1.75671,0.000761423,0.000761423,0.000761423
51,1729.49,0.73553,0.57107,1.50952,0.86436,0.80507,0.87129,0.73841,0.79257,0.8233,1.77371,0.0007525,0.0007525,0.0007525
52,1763.52,0.73859,0.56926,1.52024,0.85304,0.8157,0.87261,0.73709,0.78359,0.80544,1.75169,0.000743468,0.000743468,0.000743468
53,1797.27,0.72645,0.56067,1.5035,0.84952,0.81283,0.86676,0.73573,0.79995,0.82407,1.77163,0.000734332,0.000734332,0.000734332
54,1831.1,0.73665,0.56887,1.49857,0.86548,0.80507,0.87296,0.74334,0.7938,0.82273,1.76597,0.000725094,0.000725094,0.000725094
55,1864.88,0.72109,0.55354,1.48786,0.85834,0.81471,0.87433,0.7435,0.78476,0.81364,1.76158,0.000715761,0.000715761,0.000715761
56,1898.96,0.72724,0.55603,1.49338,0.86596,0.80696,0.87346,0.74213,0.78037,0.79926,1.74849,0.000706335,0.000706335,0.000706335
57,1932.76,0.7154,0.54441,1.49041,0.84978,0.82179,0.87479,0.74357,0.78641,0.81931,1.75845,0.00069682,0.00069682,0.00069682
58,1966.71,0.72237,0.5534,1.49388,0.85786,0.81671,0.87791,0.74356,0.79523,0.80532,1.7828,0.000687222,0.000687222,0.000687222
59,2000.57,0.71129,0.54662,1.49887,0.85591,0.8155,0.8743,0.74197,0.78638,0.82052,1.76899,0.000677543,0.000677543,0.000677543
60,2034.4,0.72332,0.55373,1.49622,0.86656,0.80645,0.87485,0.74333,0.78695,0.8066,1.7646,0.000667789,0.000667789,0.000667789
61,2068.21,0.71715,0.55216,1.49679,0.85886,0.81272,0.87673,0.74691,0.77784,0.80403,1.75866,0.000657963,0.000657963,0.000657963
62,2102.3,0.69815,0.53525,1.49944,0.86002,0.81088,0.87161,0.74277,0.78367,0.81606,1.77436,0.000648071,0.000648071,0.000648071
63,2136.15,0.71191,0.54164,1.47935,0.86385,0.80783,0.876,0.74848,0.7736,0.81671,1.76267,0.000638115,0.000638115,0.000638115
64,2170.14,0.70718,0.54243,1.48962,0.85539,0.81446,0.87474,0.74687,0.77987,0.82631,1.77008,0.000628101,0.000628101,0.000628101
65,2203.82,0.70521,0.5379,1.48303,0.85797,0.81039,0.87331,0.74309,0.79017,0.83819,1.78018,0.000618034,0.000618034,0.000618034
66,2237.79,0.69652,0.53274,1.48057,0.86334,0.80311,0.87412,0.74455,0.78901,0.82336,1.78574,0.000607916,0.000607916,0.000607916
67,2271.5,0.69339,0.53148,1.47901,0.87007,0.79817,0.87666,0.74843,0.78905,0.81814,1.78018,0.000597754,0.000597754,0.000597754
68,2305.43,0.68678,0.51657,1.457,0.86651,0.80488,0.8771,0.74538,0.78742,0.80786,1.78262,0.000587551,0.000587551,0.000587551
69,2339.1,0.69466,0.52702,1.47737,0.85809,0.81474,0.87859,0.74766,0.78406,0.80081,1.77933,0.000577311,0.000577311,0.000577311
70,2372.9,0.68921,0.52821,1.46675,0.86287,0.8096,0.87711,0.74625,0.78444,0.80362,1.77876,0.00056704,0.00056704,0.00056704
71,2406.66,0.69223,0.52771,1.46991,0.85982,0.81073,0.87651,0.74692,0.7828,0.80094,1.77306,0.000556742,0.000556742,0.000556742
72,2440.62,0.67972,0.51337,1.45904,0.86112,0.81098,0.87543,0.74716,0.78536,0.80452,1.77716,0.000546421,0.000546421,0.000546421
73,2474.49,0.6854,0.52034,1.47,0.87323,0.79801,0.87419,0.74443,0.78576,0.80847,1.77887,0.000536081,0.000536081,0.000536081
74,2508.35,0.6775,0.51532,1.47532,0.87104,0.79878,0.87491,0.74559,0.78283,0.81797,1.77604,0.000525728,0.000525728,0.000525728
75,2542.02,0.67319,0.51146,1.46757,0.86899,0.79858,0.87426,0.74594,0.78574,0.82441,1.77931,0.000515366,0.000515366,0.000515366
76,2575.98,0.68164,0.51827,1.45294,0.86575,0.80173,0.87205,0.7436,0.78847,0.83117,1.77586,0.000505,0.000505,0.000505
77,2609.76,0.68226,0.5176,1.46375,0.85851,0.80324,0.87046,0.74269,0.78658,0.84018,1.77346,0.000494634,0.000494634,0.000494634
78,2643.89,0.68212,0.52265,1.45655,0.85889,0.80271,0.86988,0.74226,0.78781,0.83925,1.77704,0.000484272,0.000484272,0.000484272
79,2677.7,0.6668,0.50561,1.46397,0.85615,0.80425,0.86717,0.73954,0.79103,0.84487,1.78633,0.000473919,0.000473919,0.000473919
80,2711.45,0.66654,0.50957,1.45735,0.85992,0.80296,0.86646,0.7385,0.79081,0.8319,1.78703,0.000463579,0.000463579,0.000463579
81,2745.3,0.66213,0.50315,1.44278,0.85971,0.80291,0.86735,0.74073,0.78852,0.82715,1.78898,0.000453258,0.000453258,0.000453258
82,2779.03,0.65937,0.49751,1.43562,0.85112,0.81301,0.86935,0.74353,0.78446,0.81795,1.78384,0.00044296,0.00044296,0.00044296
83,2812.97,0.66387,0.50497,1.46184,0.86411,0.79925,0.86811,0.74403,0.78658,0.81763,1.78703,0.000432689,0.000432689,0.000432689
84,2846.87,0.65639,0.4982,1.44517,0.85734,0.80881,0.86745,0.74297,0.78633,0.81625,1.7879,0.000422449,0.000422449,0.000422449
85,2880.79,0.65322,0.49492,1.45596,0.85247,0.81373,0.86745,0.74365,0.7853,0.82188,1.7881,0.000412246,0.000412246,0.000412246
86,2914.6,0.66254,0.50391,1.44983,0.85863,0.80921,0.86772,0.74375,0.78285,0.81776,1.78862,0.000402084,0.000402084,0.000402084
87,2948.35,0.65145,0.49417,1.43933,0.85864,0.81039,0.86755,0.74338,0.78014,0.81517,1.78841,0.000391966,0.000391966,0.000391966
88,2982.14,0.64666,0.48807,1.44507,0.8632,0.80566,0.86895,0.74448,0.78024,0.81452,1.78823,0.000381899,0.000381899,0.000381899
89,3016.06,0.64393,0.48424,1.45214,0.86435,0.8033,0.86875,0.74483,0.7791,0.80964,1.78916,0.000371885,0.000371885,0.000371885
90,3049.91,0.6447,0.48735,1.42865,0.86983,0.79976,0.86957,0.74444,0.77695,0.80982,1.78657,0.000361929,0.000361929,0.000361929
91,3083.9,0.64344,0.4872,1.4315,0.87052,0.80007,0.87015,0.74495,0.77836,0.8065,1.78926,0.000352037,0.000352037,0.000352037
92,3117.62,0.64146,0.48427,1.43627,0.86742,0.80232,0.87121,0.74566,0.77692,0.80655,1.79182,0.000342211,0.000342211,0.000342211
93,3151.4,0.64444,0.48487,1.42994,0.85894,0.80848,0.87059,0.74569,0.7765,0.80867,1.79197,0.000332457,0.000332457,0.000332457
94,3185.04,0.63121,0.47768,1.42748,0.8506,0.81637,0.87057,0.74617,0.77582,0.81055,1.79135,0.000322778,0.000322778,0.000322778
95,3218.73,0.64745,0.4904,1.4417,0.87181,0.79642,0.87041,0.74565,0.77605,0.8136,1.79133,0.00031318,0.00031318,0.00031318
96,3252.6,0.61962,0.46712,1.43846,0.8725,0.79642,0.87037,0.74542,0.77593,0.81423,1.79149,0.000303665,0.000303665,0.000303665
97,3286.34,0.63481,0.47487,1.44353,0.86869,0.80035,0.8702,0.74582,0.7755,0.81835,1.79131,0.000294239,0.000294239,0.000294239
98,3320.26,0.63811,0.47957,1.42657,0.86447,0.80311,0.86987,0.74506,0.77501,0.81919,1.79202,0.000284906,0.000284906,0.000284906
99,3353.97,0.6356,0.48278,1.42645,0.86274,0.80311,0.86999,0.74507,0.775,0.82042,1.79239,0.000275668,0.000275668,0.000275668
100,3387.88,0.61558,0.46309,1.41771,0.87568,0.79131,0.86973,0.74477,0.77539,0.8238,1.79196,0.000266532,0.000266532,0.000266532
101,3421.68,0.6241,0.46696,1.43856,0.87623,0.79091,0.86825,0.744,0.77522,0.82526,1.79078,0.0002575,0.0002575,0.0002575
102,3455.59,0.616,0.46228,1.42866,0.87087,0.79681,0.86901,0.74484,0.77512,0.82488,1.79021,0.000248577,0.000248577,0.000248577
103,3489.25,0.62153,0.46726,1.43679,0.87407,0.79319,0.86955,0.74501,0.77542,0.82418,1.79118,0.000239766,0.000239766,0.000239766
104,3523.21,0.63275,0.47757,1.44101,0.87833,0.78895,0.86915,0.74418,0.77558,0.82555,1.79124,0.000231071,0.000231071,0.000231071
105,3556.87,0.62035,0.4638,1.42205,0.88056,0.78744,0.86938,0.74391,0.7754,0.82584,1.79104,0.000222497,0.000222497,0.000222497
106,3590.75,0.61988,0.46516,1.42785,0.87996,0.78874,0.86957,0.74395,0.77541,0.8254,1.79093,0.000214046,0.000214046,0.000214046
107,3624.45,0.60962,0.45496,1.41927,0.87812,0.79091,0.86967,0.7445,0.77478,0.82597,1.79041,0.000205723,0.000205723,0.000205723
108,3658.34,0.61059,0.45659,1.41329,0.87875,0.78835,0.86987,0.74473,0.7761,0.82655,1.79191,0.000197532,0.000197532,0.000197532
109,3691.98,0.62143,0.46796,1.41912,0.8803,0.78834,0.8697,0.74431,0.77574,0.82752,1.79259,0.000189475,0.000189475,0.000189475
110,3725.8,0.61456,0.46069,1.42022,0.8791,0.78948,0.86934,0.74367,0.77593,0.82834,1.79378,0.000181557,0.000181557,0.000181557
111,3759.67,0.61236,0.45969,1.42149,0.87985,0.78954,0.86946,0.74366,0.77644,0.82833,1.79534,0.00017378,0.00017378,0.00017378
112,3793.74,0.61075,0.45934,1.42263,0.87705,0.79137,0.86945,0.74334,0.77681,0.8289,1.79599,0.000166149,0.000166149,0.000166149
113,3827.4,0.60527,0.45584,1.4166,0.87689,0.79157,0.86976,0.74305,0.77677,0.82897,1.79616,0.000158667,0.000158667,0.000158667
114,3861.1,0.60012,0.45207,1.40958,0.87797,0.79131,0.86919,0.74269,0.77576,0.82949,1.79459,0.000151336,0.000151336,0.000151336
115,3894.75,0.6017,0.4529,1.41808,0.88078,0.78895,0.86918,0.74252,0.77573,0.82979,1.79471,0.000144161,0.000144161,0.000144161
116,3928.79,0.60338,0.44931,1.41627,0.88221,0.78875,0.86896,0.74218,0.77579,0.82994,1.79463,0.000137143,0.000137143,0.000137143
117,3962.65,0.60072,0.44469,1.41534,0.88164,0.78973,0.86893,0.74256,0.77608,0.831,1.79511,0.000130287,0.000130287,0.000130287
118,3996.59,0.59585,0.44627,1.39998,0.88241,0.78823,0.86834,0.74185,0.77643,0.83187,1.79555,0.000123596,0.000123596,0.000123596
119,4030.37,0.59698,0.44352,1.41662,0.88275,0.78933,0.8682,0.7418,0.77674,0.83268,1.79549,0.000117072,0.000117072,0.000117072
120,4064.33,0.5994,0.44899,1.41537,0.88279,0.7881,0.86813,0.74188,0.77731,0.83389,1.79628,0.000110718,0.000110718,0.000110718
121,4098.97,0.51984,0.3709,1.35557,0.8825,0.78796,0.86759,0.7416,0.77739,0.83451,1.79635,0.000104537,0.000104537,0.000104537
122,4132.57,0.51627,0.36464,1.34555,0.88129,0.78854,0.86773,0.74134,0.77726,0.83492,1.79624,9.85311e-05,9.85311e-05,9.85311e-05
123,4165.86,0.51047,0.36151,1.34899,0.88118,0.78914,0.86753,0.7415,0.77727,0.83602,1.79654,9.2704e-05,9.2704e-05,9.2704e-05
124,4199.18,0.5086,0.35983,1.33929,0.88055,0.78973,0.8672,0.74136,0.77748,0.83623,1.79699,8.70577e-05,8.70577e-05,8.70577e-05
125,4232.55,0.5031,0.35661,1.33627,0.85706,0.80907,0.86662,0.74114,0.77757,0.83643,1.79764,8.15947e-05,8.15947e-05,8.15947e-05
126,4265.85,0.50156,0.35255,1.33073,0.85326,0.81208,0.86636,0.74121,0.77796,0.83747,1.79808,7.63174e-05,7.63174e-05,7.63174e-05
127,4299.35,0.49966,0.35508,1.33527,0.85415,0.81207,0.86631,0.7411,0.77822,0.83829,1.79876,7.12282e-05,7.12282e-05,7.12282e-05
128,4332.67,0.49352,0.35153,1.32733,0.85213,0.81382,0.86605,0.74125,0.77867,0.83906,1.79942,6.63292e-05,6.63292e-05,6.63292e-05
129,4366.09,0.49438,0.35148,1.32081,0.8535,0.81334,0.86611,0.7413,0.77922,0.8402,1.80002,6.16227e-05,6.16227e-05,6.16227e-05
130,4399.57,0.49637,0.34931,1.33124,0.85468,0.81326,0.86631,0.74128,0.77992,0.84124,1.80034,5.71106e-05,5.71106e-05,5.71106e-05
131,4433.01,0.49361,0.35449,1.32949,0.85458,0.81353,0.86645,0.7414,0.77988,0.84088,1.80019,5.2795e-05,5.2795e-05,5.2795e-05
132,4466.46,0.49389,0.34753,1.32797,0.85413,0.81294,0.86603,0.7411,0.78027,0.84151,1.80048,4.86777e-05,4.86777e-05,4.86777e-05
133,4499.9,0.49094,0.34892,1.32649,0.85436,0.81294,0.86615,0.74104,0.78051,0.84201,1.80081,4.47606e-05,4.47606e-05,4.47606e-05
134,4533.33,0.49245,0.34561,1.32288,0.85421,0.81314,0.86607,0.74082,0.78059,0.84267,1.80089,4.10454e-05,4.10454e-05,4.10454e-05
135,4566.78,0.48607,0.34638,1.31711,0.85429,0.81393,0.86587,0.74086,0.78081,0.84346,1.80135,3.75337e-05,3.75337e-05,3.75337e-05
136,4600.09,0.4907,0.34544,1.33347,0.85483,0.81424,0.86582,0.74105,0.78058,0.84402,1.80075,3.4227e-05,3.4227e-05,3.4227e-05
137,4633.62,0.48773,0.34224,1.32796,0.85536,0.81373,0.86571,0.7409,0.78053,0.84451,1.80086,3.11268e-05,3.11268e-05,3.11268e-05
138,4667.03,0.48715,0.34309,1.32899,0.85508,0.81393,0.86552,0.7407,0.78081,0.84445,1.80118,2.82345e-05,2.82345e-05,2.82345e-05
139,4700.43,0.48667,0.34248,1.32839,0.85554,0.81373,0.86528,0.74044,0.78085,0.84563,1.80153,2.55513e-05,2.55513e-05,2.55513e-05
140,4733.73,0.48435,0.34287,1.3085,0.85532,0.81373,0.86513,0.74032,0.78115,0.8463,1.80204,2.30784e-05,2.30784e-05,2.30784e-05
141,4767.19,0.48329,0.33935,1.32458,0.85537,0.81412,0.86519,0.74015,0.78102,0.84651,1.80262,2.08169e-05,2.08169e-05,2.08169e-05
142,4800.61,0.47992,0.3361,1.31528,0.85582,0.81353,0.86498,0.74007,0.78121,0.84705,1.80308,1.87678e-05,1.87678e-05,1.87678e-05
143,4834.12,0.48567,0.34256,1.32017,0.85485,0.81393,0.86494,0.74036,0.78131,0.84805,1.80341,1.6932e-05,1.6932e-05,1.6932e-05
144,4867.58,0.48289,0.34118,1.31666,0.85556,0.81393,0.86457,0.74008,0.78123,0.849,1.80379,1.53102e-05,1.53102e-05,1.53102e-05
145,4900.99,0.48182,0.34239,1.30769,0.85364,0.81567,0.86475,0.74006,0.78117,0.85011,1.80401,1.39032e-05,1.39032e-05,1.39032e-05
146,4934.25,0.48173,0.3386,1.32155,0.85363,0.8155,0.86479,0.7397,0.78132,0.85086,1.80473,1.27117e-05,1.27117e-05,1.27117e-05
147,4967.55,0.48126,0.33881,1.32681,0.85378,0.81547,0.86449,0.73933,0.78138,0.8515,1.80471,1.1736e-05,1.1736e-05,1.1736e-05
148,5001.02,0.47947,0.33753,1.32396,0.85207,0.81629,0.86403,0.73918,0.78148,0.85214,1.80506,1.09768e-05,1.09768e-05,1.09768e-05
149,5034.5,0.47907,0.34122,1.32639,0.8531,0.8155,0.86413,0.73916,0.78164,0.85286,1.80527,1.04342e-05,1.04342e-05,1.04342e-05
150,5067.88,0.47901,0.33606,1.31666,0.8534,0.81528,0.86367,0.73863,0.78187,0.85362,1.80563,1.01086e-05,1.01086e-05,1.01086e-05
